Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/G;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper
1;Manchester City;ENG;1;38;29;6;3;99;26;73;93;2.45;89;27.2;61.9;1.63;52774;Kevin De Bruyne - 15;Ederson
2;Liverpool;ENG;2;38;28;8;2;94;26;68;92;2.42;89.2;34.2;55;1.45;53367;Mohamed Salah - 23;Alisson
3;Bayern Munich;GER;1;34;24;5;5;97;37;60;77;2.26;88.1;37.1;51;1.5;33176;Robert Lewandowski - 35;Manuel Neuer
4;Paris S-G;FRA;1;38;26;8;4;90;36;54;86;2.26;76.5;38.6;37.9;1;41188;Kylian Mbappé - 28;Keylor Navas
5;Real Madrid;ESP;1;38;26;8;4;80;31;49;86;2.26;74.3;47;27.3;0.72;41235;Karim Benzema - 27;Thibaut Courtois
6;Milan;ITA;1;38;26;8;4;69;31;38;86;2.26;63.1;34.8;28.3;0.74;42388;Olivier Giroud Rafael Leão - 11;Mike Maignan
7;Inter;ITA;2;38;25;9;4;84;32;52;84;2.21;81.4;39.2;42.2;1.11;41407;Lautaro Martínez - 21;Samir Handanovi?
8;Napoli;ITA;3;38;24;7;7;74;31;43;79;2.08;59.4;31.9;27.6;0.73;26681;Victor Osimhen - 14;David Ospina
9;Dortmund;GER;2;34;22;3;9;85;52;33;69;2.03;62.8;43.2;19.6;0.58;41800;Erling Haaland - 22;Gregor Kobel
10;Chelsea;ENG;3;38;21;11;6;76;33;43;74;1.95;67.2;36;31.3;0.82;36443;Mason Mount - 11;Edouard Mendy
11;Barcelona;ESP;2;38;21;10;7;68;38;30;73;1.92;62.1;35.9;26.2;0.69;53982;Memphis Depay - 12;Marc-André ter Stegen
12;Leverkusen;GER;3;34;19;7;8;80;47;33;64;1.88;63.3;43.1;20.2;0.59;17356;Patrik Schick - 24;Lukáš Hrádeck?
13;Tottenham;ENG;4;38;22;5;11;69;40;29;71;1.87;65.1;39.4;25.8;0.68;56523;Son Heung-min - 23;Hugo Lloris
14;Marseille;FRA;2;38;21;8;9;63;38;25;71;1.87;59.2;40;19.1;0.5;51082;Dimitri Payet - 12;Pau López
15;Atlético Madrid;ESP;3;38;21;8;9;65;43;22;71;1.87;52.8;33.7;19.1;0.5;48039;Ángel Correa - 12;Jan Oblak
16;Sevilla;ESP;4;38;18;16;4;53;30;23;70;1.84;43.7;38.4;5.3;0.14;29756;Rafa Mir - 10;Yassine Bounou
17;Juventus;ITA;4;38;20;10;8;57;37;20;70;1.84;51.5;38;13.4;0.35;21627;Paulo Dybala - 10;Wojciech Szcz?sny
