 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Acid vascular cerebr não espec hemorrág ou isquêm
Faixa Etária 2: 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos, 70 a 74 anos, 75 a 79 anos, 80 anos e mais
Período:Jan/2013-Jan/2021
"Ano processamento";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2013";629;948;1601;2357;3941;6365;9161;12499;15127;16916;18037;17376;28157;133114
"2014";639;997;1604;2505;4121;6800;9863;13144;16351;18127;18813;18550;29654;141168
"2015";682;939;1640;2635;4227;6869;10175;13362;16837;19017;19277;19156;30445;145261
"2016";642;1044;1647;2770;4346;7066;10410;13534;17436;19590;19490;19553;31376;148904
"2017";723;1062;1652;2824;4450;7049;10545;13945;17677;20288;20313;19748;31596;151872
"2018";759;974;1638;2939;4641;7149;10862;14213;18532;20976;20853;20027;32348;155911
"2019";764;1064;1702;3059;4975;7432;10892;14714;19275;22144;21806;20935;33610;162372
"2020";716;952;1649;2884;4670;7070;10554;14254;18218;20790;21012;18810;31260;152839
"2021";68;77;142;251;413;637;908;1212;1531;1792;1682;1505;2467;12685
"Total";5622;8057;13275;22224;35784;56437;83370;110877;140984;159640;161283;155660;250913;1204126
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
